rest,rest-href,next,next-href,rank,price,cuisine,meals,features,goodFor,hours,location,phone,rating,reveiws,moreReviews,moreReviews-href
"Church Street Social","https://www.tripadvisor.com/Restaurant_Review-g297628-d6681474-Reviews-Church_Street_Social-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#34 of 10,125 Restaurants in Bengaluru","$2 -
$15","American, Indian, Bar, Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Seating, Waitstaff, Television, Serves Alcohol, Full Bar, Reservations","Special occasions, Large groups, Bar scene","","Address:
 46/1 Cobalt Building Church Street | Cobalt Building, Bengaluru 560001, India","+91 80 4171 3016","","AnkushBhawsinka



Bengaluru, India





Level  Contributor 


25 reviews 


8 restaurant reviews





2 helpful votes 







“Amazing time with my friend”



Reviewed 2 days ago
NEW 



The club is really spacious and very well designed. The food was even very nice and has is a very chilled out space to hangout with friends. Really enjoyed meeting my old friend.




Helpful? 


Thank AnkushBhawsinka 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d6681474-Reviews-Church_Street_Social-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Barbeque Nation","https://www.tripadvisor.com/Restaurant_Review-g297628-d795234-Reviews-Barbeque_Nation-Bengaluru_Bangalore_District_Karnataka.html","","","#16 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Serves Alcohol, Buffet","Special occasions, Kids, Large groups, Families with children, Business meetings","Sunday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Monday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Tuesday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm


Saturday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm","Tuesday
12:00 pm - 4:00 pm7:00 pm - 11:00 pm","Address:
 4005 100 Feet Road, Opposite Floating Walls | Opposite Floating Walls, Bengaluru 560038, India","+91 80 6060 0000","","","",""
"Big Brewsky","https://www.tripadvisor.com/Restaurant_Review-g297628-d7178495-Reviews-Big_Brewsky-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#31 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Serves Alcohol, Full Bar","Large groups, Romantic, Special occasions, Bar scene, Families with children","Sunday
12:00 pm - 11:30 pm


Tuesday
12:00 pm - 11:30 pm


Wednesday
12:00 pm - 11:30 pm


Thursday
12:00 pm - 11:30 pm


Friday
12:00 pm - 1:00 am


Saturday
12:00 pm - 1:00 am","","Address:
 Sarjapur Road | Behind MK Retail, Before Wipro Corporate Office, Bengaluru 560034, India","+91 80 4965 3450","","Megs1391



Bengaluru, India





Level  Contributor 


16 reviews 


14 restaurant reviews








“Good ambience and beer”



Reviewed 2 weeks ago




I liked the wide range of beer they serve and the place has good ambience . It has a small pond in the middle . It even has sort of rooftop area. They have huge seating capacity and yet the place can be full most of the times. Make sue you get an advance booking just to avoid end moment...


More  






Helpful? 


Thank Megs1391 





Report","",""
"13th Floor Lounge Bar","https://www.tripadvisor.com/Restaurant_Review-g297628-d1020018-Reviews-13th_Floor_Lounge_Bar-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#53 of 10,125 Restaurants in Bengaluru","$6 -
$11","Thai, Indian, Bar, Asian, Pub, Vegetarian Friendly, Vegan Options","Dinner, Late Night, Drinks","Outdoor Seating, Buffet, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Reservations","Special occasions, Large groups, Romantic, Bar scene, Scenic view","Thursday
5:00 pm - 11:00 pm","Address:
 84 Mahatma Gandhi Road, Bengaluru 560001, India","null","","","",""
"Toit","https://www.tripadvisor.com/Restaurant_Review-g297628-d2057435-Reviews-Toit-Bengaluru_Bangalore_District_Karnataka.html","","","#15 of 10,125 Restaurants in Bengaluru","$5 -
$7","Bar, European, Pub, Brew Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Validated Parking, Valet Parking, Television, Serves Alcohol, Full Bar","Special occasions, Bar scene, Large groups","","Address:
 100 Namma Metro Pillar 62 Feet Road | Indiranagar, Bengaluru 560038, India","+91 90197 13388","","Praveen N



Navi Mumbai, India





Level  Contributor 


106 reviews 


36 restaurant reviews





63 helpful votes 







“A great place for beer and conversations”



Reviewed 5 days ago
NEW 


via mobile




Toit is an amazing place for in house brewed beers and for some great food. The ambience is kool and it makes a perfect place to spend some good time with friends , family or colleagues.




Helpful? 


Thank Praveen N 





Report","",""
"Rim Naam","https://www.tripadvisor.com/Restaurant_Review-g297628-d2225226-Reviews-Rim_Naam-Bengaluru_Bangalore_District_Karnataka.html","","","#25 of 10,125 Restaurants in Bengaluru","$17 -
$23","Asian, Thai, Vegan Options, Vegetarian Friendly, Gluten Free Options","Brunch, Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar","Large groups, Families with children, Romantic, Scenic view, Business meetings, Special occasions","","Address:
 37-39, MG Road | The Oberoi, Bengaluru 560001, India","+91 80 2558 5858","","SurinderAnand



Chandigarh, India





Level  Contributor 


33 reviews 


10 restaurant reviews





24 helpful votes 







“Best Dinning Experiences”



Reviewed January 12, 2017



via mobile




Great food and as expected best hospitality service by The Oberoi Team.
Made our special occasion more special by a selective and special seating with the best table in restaurant.




Helpful? 


Thank SurinderAnand 





Report 





Oberoi_Bengaluru, General Manager at Rim Naam, responded to this review



Dear Guest
Thank you for choosing Rim Naam to celebrate a special occasion. We are truly honoured to have been part of this celebration.
We also thank you for taking time to update your experience on TripAdvisor and also for your kind words of praise for our service and food.
It is our constant endeavor to deliver our best and...



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d2225226-Reviews-or10-Rim_Naam-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Phobidden Fruit","https://www.tripadvisor.com/Restaurant_Review-g297628-d1984602-Reviews-Phobidden_Fruit-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#54 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Takeout, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol","Kids, Families with children, Large groups","Sunday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Tuesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm


Saturday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm","Tuesday
12:00 pm - 3:30 pm7:00 pm - 11:00 pm","Address:
 No 965 12th Main | Opposite Mom & Me, Bengaluru 560038, India","+91 80 4125 5175","","","",""
"Blue Ginger","https://www.tripadvisor.com/Restaurant_Review-g297628-d785685-Reviews-Blue_Ginger-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#45 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Seating","Romantic, Families with children, Kids, Business meetings, Special occasions, Large groups","Sunday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Monday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Tuesday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Wednesday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Thursday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Friday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Saturday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm","","Address:
 No 25 Race Course Road, Bengaluru 560001, India","null","61","","",""
"Feast","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234003-Reviews-Feast-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#57 of 10,125 Restaurants in Bengaluru","$15 -
$50","Indian, Asian, Chinese, International, Vegetarian Friendly, Gluten Free Options, Vegan Options","Brunch, Breakfast, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Delivery, Free Wifi","Large groups, Special occasions, Business meetings, Kids, Families with children, Romantic","Monday
6:30 am - 11:30 pm","Address:
 26 1 Dr Raj Kumar Road, Bengaluru 560055, India","+91 80 4252 1000","","","",""
"Veena Store","https://www.tripadvisor.com/Restaurant_Review-g297628-d850372-Reviews-Veena_Store-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#55 of 10,125 Restaurants in Bengaluru","null","Breakfast, Dinner","Takeout","Families with children, Local cuisine, Dining on a budget","Monday
3:30 pm - 9:00 pm


Tuesday
3:30 pm - 9:00 pm


Wednesday
3:30 pm - 9:00 pm


Thursday
3:30 pm - 9:00 pm


Friday
3:30 pm - 9:00 pm


Saturday
3:30 pm - 9:00 pm","","Address:
 Ground Floor Margosa Road 183 15'th Cross Street | Near Lakshmi Maternity Home, Bengaluru 560055, India","+91 80 2334 4838","","Manjunath S









2 reviews 







“This place is great ”



Reviewed March 2, 2017



via mobile




This place has existed for years now. The idlis are soft and the chutney is good enough for my mum. It is one of the cheapest places in Bangalore for this kind of food. So all in all a must visit place for foodies.




Helpful? 


Thank Manjunath S 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d850372-Reviews-or10-Veena_Store-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Alto Vino","https://www.tripadvisor.com/Restaurant_Review-g297628-d6216640-Reviews-Alto_Vino-Bengaluru_Bangalore_District_Karnataka.html","","","#5 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Late Night","Outdoor Seating, Takeout, Reservations, Private Dining, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Discover, Full Bar","Romantic, Large groups, Special occasions, Business meetings, Families with children","Sunday
6:30 pm - 11:00 pm


Monday
6:30 pm - 11:00 pm


Tuesday
6:30 pm - 11:00 pm


Wednesday
6:30 pm - 11:00 pm


Thursday
6:30 pm - 11:00 pm


Friday
6:30 pm - 11:00 pm


Saturday
6:30 pm - 11:00 pm","","Address:
 75 8th Road | Bengaluru Marriott Hotel, Bengaluru 560066, India","+91 80 4943 5000","","manmohankairo



Bengaluru, India






1 review 







“dinner at Alto vino”



Reviewed March 30, 2017




went with family for dinner ,had buffalo mozzarella salad, chef special anti pasti platter and ravioli. very happy and satisfied with food served. however very much impressed with chef Dola singh , who not only ensure that our food is served in the right way. he is an asset for the company. hats off to chef and entire team.




Helpful? 


Thank manmohankairo 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d6216640-Reviews-or10-Alto_Vino-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Feast","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234003-Reviews-Feast-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#57 of 10,125 Restaurants in Bengaluru","$15 -
$50","Indian, Asian, Chinese, International, Vegetarian Friendly, Gluten Free Options, Vegan Options","Brunch, Breakfast, Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Delivery, Free Wifi","Large groups, Special occasions, Business meetings, Kids, Families with children, Romantic","","Address:
 26 1 Dr Raj Kumar Road, Bengaluru 560055, India","+91 80 4252 1000","","harry d









1 review 







“Lovely Food and Dedicated Staff”



Reviewed 2 weeks ago



via mobile




One of the best restaurants I've visited untill now, loved the ambience, delicious food and kind treatment by the staff.




Helpful? 


Thank harry d 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d2234003-Reviews-Feast-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"K & K","https://www.tripadvisor.com/Restaurant_Review-g297628-d2216191-Reviews-K_K-Bengaluru_Bangalore_District_Karnataka.html","","","#2 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner","Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only","Romantic, Families with children, Kids, Local cuisine, Business meetings, Special occasions, Large groups","Sunday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Monday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Tuesday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Wednesday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Thursday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Friday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm


Saturday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm","Saturday
12:30 pm - 2:45 pm7:30 pm - 11:45 pm","Address:
 1 Residency Road | ITC Gardenia Hotel, Bengaluru 560001, India (Formerly Kebabs and Kurries)","+91 99160 75267","","","",""
"The Biere Club","https://www.tripadvisor.com/Restaurant_Review-g297628-d2374783-Reviews-The_Biere_Club-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#42 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Brunch, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Television, Serves Alcohol, Full Bar, Valet Parking","Bar scene, Large groups, Special occasions","Sunday
11:30 am - 10:30 pm


Monday
11:30 am - 10:30 pm


Tuesday
11:30 am - 10:30 pm


Wednesday
11:30 am - 10:30 pm


Thursday
11:30 am - 10:30 pm


Friday
11:30 am - 10:30 pm


Saturday
11:30 am - 10:30 pm","","Address:
 2nd Floor Near Shell Petrol Pump 20 2 Vittal Mallya Road | Lavelle Road Area, Lavelle Road, Bengaluru 560001, India","+91 80 4212 4383","13","","",""
"Toit","https://www.tripadvisor.com/Restaurant_Review-g297628-d2057435-Reviews-Toit-Bengaluru_Bangalore_District_Karnataka.html","","","#15 of 10,125 Restaurants in Bengaluru","$5 -
$7","Bar, European, Pub, Brew Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Validated Parking, Valet Parking, Television, Serves Alcohol, Full Bar","Special occasions, Bar scene, Large groups","","Address:
 100 Namma Metro Pillar 62 Feet Road | Indiranagar, Bengaluru 560038, India","+91 90197 13388","","jayshan_69



Hyderabad, India





Level  Contributor 


100 reviews 


28 restaurant reviews





149 helpful votes 







“Service Matters!”



Reviewed 4 days ago
NEW 



I heard Toit is one of the most happening & lively brewpub in Bengaluru.
No doubt the brew beers were so good.
A good crowded place to hang around.
However the service was so poor, you can't even imagine till the waiter not listen / serve you!
No order was taken properly, I dont know what went wrong with their...


More  






Helpful? 



1

Thank jayshan_69 





Report","",""
